iter	Passed	Remaining
0	167	167755
1	170	84981
2	172	57415
3	174	43463
4	176	35126
5	178	29598
6	180	25621
7	182	22674
8	184	20362
9	186	18511
10	189	17007
11	190	15724
12	192	14629
13	194	13721
14	196	12925
15	198	12223
16	200	11593
17	202	11052
18	204	10553
19	206	10108
20	208	9710
21	210	9349
22	212	9033
23	214	8732
24	216	8448
25	218	8182
26	220	7937
27	222	7718
28	224	7506
29	226	7313
30	228	7131
31	230	6959
32	232	6800
33	234	6649
34	235	6504
35	237	6370
36	239	6237
37	241	6114
38	243	6001
39	245	5884
40	245	5737
41	247	5640
42	249	5551
43	251	5468
44	253	5387
45	255	5306
46	257	5227
47	259	5148
48	261	5077
49	263	5009
50	265	4944
51	267	4881
52	269	4818
53	271	4759
54	273	4700
55	275	4645
56	277	4594
57	279	4540
58	281	4490
59	283	4439
60	285	4393
61	287	4346
62	289	4305
63	291	4263
64	293	4222
65	295	4185
66	297	4145
67	299	4107
68	301	4068
69	303	4031
70	304	3989
71	306	3956
72	308	3923
73	310	3889
74	313	3861
75	315	3830
76	316	3798
77	318	3769
78	320	3740
79	322	3709
80	324	3681
81	326	3655
82	328	3630
83	330	3603
84	332	3576
85	334	3551
86	335	3524
87	337	3501
88	339	3477
89	341	3453
90	345	3453
91	345	3413
92	347	3392
93	349	3370
94	351	3349
95	353	3329
96	357	3328
97	359	3311
98	361	3291
99	363	3271
100	365	3251
101	367	3233
102	369	3216
103	371	3199
104	373	3182
105	375	3164
106	377	3147
107	379	3130
108	380	3113
109	380	3080
110	384	3076
111	386	3061
112	388	3047
113	390	3031
114	392	3018
115	392	2994
116	394	2980
117	396	2966
118	398	2952
119	400	2939
120	402	2925
121	404	2911
122	408	2909
123	409	2896
124	410	2872
125	412	2860
126	414	2848
127	416	2838
128	418	2827
129	420	2814
130	422	2803
131	424	2790
132	426	2778
133	427	2765
134	429	2754
135	431	2742
136	433	2732
137	437	2732
138	439	2721
139	441	2714
140	443	2704
141	445	2694
142	447	2683
143	449	2674
144	452	2665
145	453	2654
146	455	2645
147	458	2637
148	460	2628
149	462	2619
150	464	2610
151	466	2602
152	468	2591
153	469	2581
154	472	2573
155	473	2563
156	475	2554
157	477	2546
158	479	2537
159	481	2529
160	484	2523
161	486	2516
162	488	2507
163	490	2499
164	492	2490
165	494	2482
166	496	2475
167	498	2468
168	500	2459
169	502	2452
170	504	2444
171	506	2435
